嘲		Ridicule (v.)	{cháo,zhāo}	自嘲	zì cháo	to mock oneself		trào phúng		trào		50	53	deck:current tag:RSH is:suspended (hanzi:嘲 or keyword:"ten" or keyword:"mouth" or keyword:"day" or keyword:"p.mist" or keyword:"early" or keyword:"month" or keyword:"dynasty")	15	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
p.<img src="rsh-animal-legs.jpg">		p.Animal legs										v1p39-1	54		2	Primitive PrimitiveImage RSH RSH1 RSH1-04
p.勹		p.Bound up								bao		v1p39-2	55		2	Primitive RSH RSH1 RSH1-04
p.丷		p.Horns										v1p40	56		2	Primitive RSH RSH1 RSH1-04
只		Only	zhī	只要	zhǐ yào	if only				chỉ		51	57	deck:current tag:RSH is:suspended (hanzi:只 or keyword:"p.animal legs" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-04 SameSimpTrad
贝	貝	Shellfish	bèi	宝贝	bǎo bèi	treasure		bảo bối		bối		52	58	deck:current tag:RSH is:suspended (hanzi:贝 or keyword:"p.animal legs" or keyword:"eye")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
贴	貼	Paste (v.)	tiē	补贴	bǔ tiē	to subsidize				thiếp		53	59	deck:current tag:RSH is:suspended (hanzi:贴 or keyword:"tell fortunes" or keyword:"mouth" or keyword:"p.a drop of" or keyword:"p.animal legs" or keyword:"eye" or keyword:"p.walking stick" or keyword:"shellfish" or keyword:"divination")	9	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
贞	貞	Chaste	zhēn	贞洁	zhēn jié	chasity				trinh		54	60	deck:current tag:RSH is:suspended (hanzi:贞 or keyword:"p.a drop of" or keyword:"p.animal legs" or keyword:"eye" or keyword:"p.walking stick" or keyword:"shellfish" or keyword:"divination")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
员	員	Employee	{yuán,yùn}	人员	rén yuán	employee		nhân viên		viên		55	61	deck:current tag:RSH is:suspended (hanzi:员 or keyword:"p.animal legs" or keyword:"mouth" or keyword:"shellfish" or keyword:"eye")	7	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
儿	兒	Youngster	{ér,er}	儿子	ér zi	son				nhi, nhân		56	62	deck:current tag:RSH is:suspended (hanzi:儿)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional
几	幾	How many?	{jī,jǐ}	几个	jǐ ge	a few, how many		trường kỉ		kỉ		57	63	deck:current tag:RSH is:suspended (hanzi:几)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-how-many
见	見	See	{jiàn,xiàn}	意见	yì jiàn	idea				kiến		58	64	deck:current tag:RSH is:suspended (hanzi:见 or keyword:"youngster" or keyword:"eye")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-see
元		Beginning	yuán	元朝	Yuán cháo	Yuan dynasty		công nguyên, nguyên đán		nguyên		59	65	deck:current tag:RSH is:suspended (hanzi:元 or keyword:"one" or keyword:"two" or keyword:"youngster")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
页	頁	Page	yè	首页	shǒu yè	homepage				hiệt		60	66	deck:current tag:RSH is:suspended (hanzi:页 or keyword:"p.animal legs" or keyword:"one" or keyword:"shellfish" or keyword:"p.a drop of" or keyword:"eye")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
顽	頑	Stubborn	wán	顽强	wán qiáng	tenacious, hard to defeat		ngoan cố		ngoan		61	67	deck:current tag:RSH is:suspended (hanzi:顽 or keyword:"one" or keyword:"beginning" or keyword:"p.a drop of" or keyword:"p.animal legs" or keyword:"two" or keyword:"eye" or keyword:"page" or keyword:"shellfish" or keyword:"youngster")	10	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
凡		Ordinary	fán	凡人	fán rén	ordinary person				phàm		62	68	deck:current tag:RSH is:suspended (hanzi:凡 or keyword:"how many?" or keyword:"p.a drop of")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
肌		Muscle	{jī,jì}	机体	jī tǐ	the body				cơ		63	69	deck:current tag:RSH is:suspended (hanzi:肌 or keyword:"month" or keyword:"how many?")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
负	負	Defeated	fù	负责	fù zé	to be in charge of		bất phân thắng phụ		phụ		64	70	deck:current tag:RSH is:suspended (hanzi:负 or keyword:"p.bound up" or keyword:"p.animal legs" or keyword:"shellfish" or keyword:"eye")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-shellfish
万	萬	Ten Thousand	{wàn,mò}	万人	wàn rén	all the people, every man				vạn		65	71	deck:current tag:RSH is:suspended (hanzi:万 or keyword:"p.bound up" or keyword:"one")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional Traditional-easy-to-learn Traditional-element-ten-thousand
匀	勻	Uniform (adj.)	yún	均匀	jūn yún	well-distributed		quân bình	In the traditional character, the element for <i>two</i>&nbsp;looks more normal. But that is sometimes just a font variation.	quân		66	72	deck:current tag:RSH is:suspended (hanzi:匀 or keyword:"p.bound up" or keyword:"one" or keyword:"two")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 Traditional
句		Sentence	{jù,gōu}	两句	liǎng jù	(say) a few words				câu, cú		67	73	deck:current tag:RSH is:suspended (hanzi:句 or keyword:"p.bound up" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
旬		Decameron	xún	上旬	shàng xún	first third of the month				tuần		68	74	deck:current tag:RSH is:suspended (hanzi:旬 or keyword:"p.bound up" or keyword:"day")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
勺		Ladle	{sháo,zhuó}	sháo zi	勺子	ladle				chước		69	75	deck:current tag:RSH is:suspended (hanzi:勺 or keyword:"p.bound up" or keyword:"p.a drop of")	3	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-04 SameSimpTrad
的		Bull’s Eye	{<span class="tone5">de</span>,<span class="tone2">dí</span>,<span class="tone4">dì</span>}<!--{de,di,di}-->					mục đích		đích, để		70	76	deck:current tag:RSH is:suspended (hanzi:的 or keyword:"p.bound up" or keyword:"day" or keyword:"ladle" or keyword:"white" or keyword:"p.a drop of")	8	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-04 SameSimpTrad
首		Heads	shǒu	首先	shǒu xiān	first (of all)		nguyên thủ, thủ xướng, thủ hiệt		thủ		71	77	deck:current tag:RSH is:suspended (hanzi:首 or keyword:"oneself" or keyword:"p.a drop of" or keyword:"p.horns" or keyword:"eye")	9	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-04 SameSimpTrad
直		Straight	zhí					chính trực, trực thăng, trực ngôn		trực		72	78	deck:current tag:RSH is:suspended (hanzi:直 or keyword:"ten" or keyword:"one" or keyword:"eye")	8	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
置		Set Up	zhì	装置&nbsp;	zhuāng zhì	to install		bố trí		trí		73	79	deck:current tag:RSH is:suspended (hanzi:置 or keyword:"ten" or keyword:"one" or keyword:"p.sheaf" or keyword:"eye" or keyword:"net" or keyword:"straight" or keyword:"p.hood")	13	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
p.<img src="rsh-tool.jpg">		p.Tool										v1p49	80		3	Primitive PrimitiveImage RSH RSH1 RSH1-05
具		Tool	jù	工具	gōng jù	tool		nông cụ, khí cụ		cụ		74	81	deck:current tag:RSH is:suspended (hanzi:具 or keyword:"p.animal legs" or keyword:"one" or keyword:"p.tool" or keyword:"eye")	8	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
真		TRUE	zhēn	写真	xiě zhēn	portrait		chân nhân, chân chính, chân lí		chân		75	82	deck:current tag:RSH is:suspended (hanzi:真 or keyword:"ten" or keyword:"one" or keyword:"p.animal legs" or keyword:"eye" or keyword:"p.tool" or keyword:"straight")	10	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
p.<img src="rsh-by-ones-side.jpg">		p.By one's side										v1p50	83		2	Primitive PrimitiveImage RSH RSH1 RSH1-05
工		Work (n.)	gōng	工作	gōng zuò	to work				công		76	84	deck:current tag:RSH is:suspended (hanzi:工)	3	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-05 SameSimpTrad
左		Left	zuǒ	左右	zuǒ yòu	left and right, nearby				tả		77	85	deck:current tag:RSH is:suspended (hanzi:左 or keyword:"p.by one's side" or keyword:"ten" or keyword:"work (n.)")	5	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-05 SameSimpTrad
右		Right	yòu	左右	zuǒ <u>yòu</u>	left and right				hữu		78	86	deck:current tag:RSH is:suspended (hanzi:右 or keyword:"p.by one's side" or keyword:"ten" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-05 SameSimpTrad
有		Possess	{<span class="tone3">yǒu</span>,<span class="tone4">yòu</span>}<!--{you,you}-->							hữu		79	87	deck:current tag:RSH is:suspended (hanzi:有 or keyword:"p.by one's side" or keyword:"ten" or keyword:"month")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
